byzantine_frac,system,stale_rate,availability
0.0,neutro-waa-g,0.235,0.9287
0.1,neutro-waa-g,0.235,0.9287
0.2,neutro-waa-g,0.7179,1.0
0.4,neutro-waa-g,0.9843,1.0
0.0,neutro-wga-g,0.2553,0.9774
0.1,neutro-wga-g,0.2553,0.9774
0.2,neutro-wga-g,0.7179,1.0
0.4,neutro-wga-g,0.9843,1.0
0.0,neutro-median-g,0.2636,0.9997
0.1,neutro-median-g,0.2636,0.9997
0.2,neutro-median-g,0.7179,1.0
0.4,neutro-median-g,0.9843,1.0
0.0,neutro-trimmed-g,0.2493,0.9625
0.1,neutro-trimmed-g,0.2493,0.9625
0.2,neutro-trimmed-g,0.713,0.9832
0.4,neutro-trimmed-g,0.9843,0.9996
0.0,neutro-krum-g,0.2636,0.9997
0.1,neutro-krum-g,0.2636,0.9997
0.2,neutro-krum-g,0.7179,1.0
0.4,neutro-krum-g,0.9843,1.0
0.0,quorum-bool,0.2628,0.4017
0.1,quorum-bool,0.2628,0.4017
0.2,quorum-bool,0.5272,0.5967
0.4,quorum-bool,0.9811,0.8297
0.0,lww-crdt,0.4147,0.9997
0.1,lww-crdt,0.4147,0.9997
0.2,lww-crdt,1.0,1.0
0.4,lww-crdt,1.0,1.0
