rtt_ms,system,n,p50_ms,p95_ms,p99_ms,mean_ms
1.0,centralized,200,7.529,14.213,16.1413,8.1201
1.0,lww-crdt,200,33.0058,50.7929,58.2321,34.3058
1.0,naive-cache,200,0.017,0.0296,0.0431,0.0182
1.0,neutro-waa,200,30.892,45.5868,57.3561,31.4057
1.0,neutro-wga,200,30.5091,49.5061,57.9803,30.1918
1.0,pbs-quorum,200,28.434,44.5903,56.2855,28.5489
1.0,quorum-bool,200,27.7341,49.7289,54.6719,28.6581
1.0,raft-lww,200,7.1643,12.0554,14.5948,7.4052
1.0,single-peer,200,7.8303,13.1264,17.344,8.1166
5.0,centralized,200,12.8061,17.8183,20.1786,12.8878
5.0,lww-crdt,200,68.3566,89.8697,98.0683,69.4217
5.0,naive-cache,200,0.0173,0.0264,0.0358,0.0274
5.0,neutro-waa,200,70.5602,91.7112,105.3185,70.7589
5.0,neutro-wga,200,70.181,92.1749,106.1318,71.4837
5.0,pbs-quorum,200,49.2074,65.7219,75.0854,50.4963
5.0,quorum-bool,200,50.0158,70.7523,77.317,50.8397
5.0,raft-lww,200,13.4856,21.3574,25.8078,13.8747
5.0,single-peer,200,12.8687,19.6708,22.9438,13.2543
20.0,centralized,200,29.5205,38.7122,46.0099,29.4777
20.0,lww-crdt,200,152.6218,184.7436,197.2507,155.0066
20.0,naive-cache,200,0.0172,0.0328,0.0538,0.0336
20.0,neutro-waa,200,155.0115,184.5195,192.2288,154.3978
20.0,neutro-wga,200,152.9823,178.9299,188.5536,153.0637
20.0,pbs-quorum,200,99.6975,122.3446,127.8951,100.2359
20.0,quorum-bool,200,102.9888,125.3441,137.009,103.5512
20.0,raft-lww,200,30.7242,42.6512,46.2201,30.9823
20.0,single-peer,200,30.3225,40.9951,47.0096,30.2598
