scenario,system,failure_inject_phi,partition,n_trials,stale_rate,stale_ci_lo,stale_ci_hi,availability,avail_ci_lo,avail_ci_hi,failure_rate,percentile_basis,messages_mean,mlat_p50,mlat_p99,i_occupancy,neutro_bool_disagree,status
S1,centralized,0.0,none,250,0.0,0.0,0.0,1.0,1.0,1.0,0.0,all,1.0,1.8066327999999998,5.2013136,0.45459733599999996,0.58017332,validated
S1,centralized,0.0,transient,250,0.0,0.0,0.0,0.499733356,0.49630634390000006,0.5032133682000001,0.500266644,success_only,1.0,1.7985296,5.1029268000000005,0.45585065199999997,0.5755600000000001,validated
S1,centralized,0.1,none,250,0.0,0.0,0.0,0.9007066600000001,0.8984800034,0.9029599920000001,0.09929334,success_only,1.0,1.8009408,5.161366,0.454722676,0.6389733160000001,validated
S1,centralized,0.1,transient,250,0.0,0.0,0.0,0.45161335199999997,0.44801335579999996,0.4552400323,0.5483866479999999,success_only,1.0,1.8029248,5.1249912,0.45523466,0.62748,validated
S1,centralized,0.2,none,250,0.0,0.0,0.0,0.7990666760000001,0.7962533551,0.8018000004000001,0.200933324,success_only,1.0,1.8025188,5.212604,0.45462402400000007,0.6576533159999999,validated
S1,centralized,0.2,transient,250,0.0,0.0,0.0,0.397679976,0.3939466279,0.4013603441,0.602320024,success_only,1.0,1.8031716000000002,4.9638976,0.45485865999999997,0.648680028,validated
S1,centralized,0.3,none,250,0.0,0.0,0.0,0.7003333559999999,0.6971733754999999,0.7035466883,0.29966664400000004,success_only,1.0,1.8046415999999998,5.171914,0.45441866000000003,0.662826636,validated
S1,centralized,0.3,transient,250,0.0,0.0,0.0,0.35172002,0.34848002359999997,0.3551070324,0.64827998,success_only,1.0,1.8058348000000002,4.9950079999999994,0.454306656,0.6420666759999999,validated
S1,freshness-slo,0.0,none,250,0.004006916,0.0033862815000000003,0.0046539814999999995,0.5806000200000001,0.5772266953999999,0.5838803768,0.41939998,success_only,5.0,2.9235300000000004,6.519324,0.45459733599999996,0.58017332,validated
S1,freshness-slo,0.0,transient,250,0.018065551999999995,0.016934766100000002,0.019223320600000003,0.588239996,0.5844666758,0.5918670286000001,0.411760004,success_only,5.0,2.7321088,6.2867488,0.45585065199999997,0.5755600000000001,validated
S1,freshness-slo,0.1,none,250,0.009510056,0.008522807600000001,0.0105406484,0.58725336,0.5838667039000001,0.5906933445000001,0.41274663999999994,success_only,5.0,2.8414776,6.48297,0.454722676,0.6389733160000001,validated
S1,freshness-slo,0.1,transient,250,0.029933152,0.028165873799999998,0.0316684266,0.5850666879999998,0.5815600356,0.5884266684000001,0.414933312,success_only,5.0,2.6434575999999996,6.226476000000001,0.45523466,0.62748,validated
S1,freshness-slo,0.2,none,250,0.018352603999999998,0.0171577526,0.0195118917,0.5884933160000001,0.5850666635999999,0.5918803013999999,0.41150668400000007,success_only,5.0,2.7476264,6.395472799999999,0.45462402400000007,0.6576533159999999,validated
S1,freshness-slo,0.2,transient,250,0.042932528000000005,0.04102277570000001,0.0448332658,0.579520012,0.5761596745000002,0.5827733599999999,0.420479988,success_only,5.0,2.5677668000000002,6.169881999999999,0.45485865999999997,0.648680028,validated
S1,freshness-slo,0.3,none,250,0.031981803999999996,0.030429406100000004,0.033584290100000004,0.5871733360000001,0.5834533319,0.5907999961,0.41282666400000007,success_only,5.0,2.6318836,6.2246728000000004,0.45441866000000003,0.662826636,validated
S1,freshness-slo,0.3,transient,250,0.06146456399999999,0.0593978514,0.0636163672,0.566226664,0.5625066873000001,0.5697603208,0.43377333599999995,success_only,5.0,2.466114,6.1270456,0.454306656,0.6420666759999999,validated
S1,lww-crdt,0.0,none,250,0.36793334000000005,0.3647996740000001,0.3710403564,1.0,1.0,1.0,0.0,all,5.0,2.9271424,6.6260988,0.45459733599999996,0.58017332,validated
S1,lww-crdt,0.0,transient,250,0.32005494399999995,0.3166154911,0.323386208,0.999626704,0.999493384,0.9997600240000001,0.000373296,all,5.0,2.7351084,6.3655536,0.45585065199999997,0.5755600000000001,validated
S1,lww-crdt,0.1,none,250,0.34338216800000004,0.3399960428,0.3468273094,0.9998933440000001,0.9998133520000001,0.9999600040000001,0.000106656,all,5.0,2.8449768000000004,6.5880064,0.454722676,0.6389733160000001,validated
S1,lww-crdt,0.1,transient,250,0.30573102799999996,0.30260614269999997,0.30891192750000007,0.997200072,0.9968000799,0.997600072,0.0027999280000000006,all,5.0,2.6451567999999996,6.271206,0.45523466,0.62748,validated
S1,lww-crdt,0.2,none,250,0.32167855599999995,0.31852623929999996,0.3247168708,0.998640064,0.9983733960000002,0.998906708,0.001359936,all,5.0,2.7433471999999997,6.481273600000001,0.45462402400000007,0.6576533159999999,validated
S1,lww-crdt,0.2,transient,250,0.29424900400000004,0.29084055400000003,0.297478237,0.9880400200000001,0.9872667118,0.9888399921,0.011959980000000002,all,5.0,2.5540240000000005,6.2450416,0.45485865999999997,0.648680028,validated
