replicas,system,stale_rate,availability,messages_mean
2,neutro-waa-g,0.3342,0.8045,2.0
3,neutro-waa-g,0.2815,0.8541,3.0
5,neutro-waa-g,0.235,0.9287,5.0
7,neutro-waa-g,0.2228,0.9607,7.0
10,neutro-waa-g,0.218,0.9859,10.0
20,neutro-waa-g,0.1764,0.9993,20.0
50,neutro-waa-g,0.0988,1.0,50.0
2,neutro-median-g,0.3716,0.9644,2.0
3,neutro-median-g,0.3222,0.9933,3.0
5,neutro-median-g,0.2636,0.9997,5.0
7,neutro-median-g,0.2381,1.0,7.0
10,neutro-median-g,0.2211,1.0,10.0
20,neutro-median-g,0.1766,1.0,20.0
50,neutro-median-g,0.0988,1.0,50.0
2,quorum-bool,0.2104,0.2756,2.0
3,quorum-bool,0.1822,0.4092,3.0
5,quorum-bool,0.2628,0.4017,5.0
7,quorum-bool,0.2001,0.3982,7.0
10,quorum-bool,0.2109,0.3812,10.0
20,quorum-bool,0.1574,0.3866,20.0
50,quorum-bool,0.0833,0.3649,50.0
2,lww-crdt,0.3668,0.9644,2.0
3,lww-crdt,0.3493,0.9933,3.0
5,lww-crdt,0.4147,0.9997,5.0
7,lww-crdt,0.5064,1.0,7.0
10,lww-crdt,0.6307,1.0,10.0
20,lww-crdt,0.862,1.0,20.0
50,lww-crdt,0.9936,1.0,50.0
2,centralized,0.0,0.9005,1.0
3,centralized,0.0,0.8981,1.0
5,centralized,0.0,0.8996,1.0
7,centralized,0.0,0.9019,1.0
10,centralized,0.0,0.9003,1.0
20,centralized,0.0,0.9,1.0
50,centralized,0.0,0.9007,1.0
