factor,value,system,stale_rate,availability
replicas,3,neutro-waa,0.2774,0.8172
replicas,5,neutro-waa,0.2478,0.9416
replicas,7,neutro-waa,0.2337,0.9814
cache_ratio,0.2,neutro-waa,0.1308,0.9891
cache_ratio,0.5,neutro-waa,0.2478,0.9416
cache_ratio,0.8,neutro-waa,0.5192,0.7935
replicas,3,neutro-wga,0.2718,0.6831
replicas,5,neutro-wga,0.237,0.4271
replicas,7,neutro-wga,0.2253,0.2633
cache_ratio,0.2,neutro-wga,0.1142,0.5684
cache_ratio,0.5,neutro-wga,0.237,0.4271
cache_ratio,0.8,neutro-wga,0.4965,0.3691
replicas,3,quorum-bool,0.1822,0.4092
replicas,5,quorum-bool,0.2628,0.4017
replicas,7,quorum-bool,0.2001,0.3982
cache_ratio,0.2,quorum-bool,0.1293,0.7058
cache_ratio,0.5,quorum-bool,0.2628,0.4017
cache_ratio,0.8,quorum-bool,0.5914,0.1405
replicas,3,lww-crdt,0.3493,0.9933
replicas,5,lww-crdt,0.4147,0.9997
replicas,7,lww-crdt,0.5064,1.0
cache_ratio,0.2,lww-crdt,0.1962,0.9997
cache_ratio,0.5,lww-crdt,0.4147,0.9997
cache_ratio,0.8,lww-crdt,0.5808,0.9997
replicas,3,centralized,0.0,0.8981
replicas,5,centralized,0.0,0.8996
replicas,7,centralized,0.0,0.9019
cache_ratio,0.2,centralized,0.0,0.9005
cache_ratio,0.5,centralized,0.0,0.8996
cache_ratio,0.8,centralized,0.0,0.8999
