system,scenario,optimizer,utility,tau,n_evals,wall_s
neutro-waa-g,S1,random,0.6672,0.3665,120,1627.67
neutro-waa-g,S1,de,0.6672,0.3182,120,1464.99
neutro-waa-g,S1,cmaes,0.6672,0.3404,99,1022.09
neutro-waa-g,S1,tpe,0.6672,0.3155,120,1280.62
neutro-waa-g,S1,pso,0.6672,0.3183,120,1360.04
neutro-waa-g,S1,rime,0.6672,0.3665,120,1475.02
neutro-waa-g,S1,nioa,0.6672,0.3665,120,1470.68
neutro-waa-g,S2,tpe,-0.0713,0.6615,120,1276.86
neutro-waa-g,S2,pso,-0.0776,0.6432,120,1271.29
neutro-waa-g,S2,rime,-0.0787,0.6884,120,1212.78
neutro-waa-g,S2,nioa,-0.0802,0.6886,120,1213.82
neutro-waa-g,S2,random,-0.0804,0.6061,120,1490.66
neutro-waa-g,S2,de,-0.0827,0.6242,120,1393.69
neutro-waa-g,S2,cmaes,-0.086,0.6321,120,1232.01
neutro-waa-g,S3,random,0.2921,0.3665,120,1229.88
neutro-waa-g,S3,de,0.2921,0.3182,120,1230.38
neutro-waa-g,S3,cmaes,0.2921,0.3501,108,1123.28
neutro-waa-g,S3,tpe,0.2921,0.3155,120,1244.63
neutro-waa-g,S3,pso,0.2921,0.3183,120,1263.99
neutro-waa-g,S3,rime,0.2921,0.3665,120,1245.37
neutro-waa-g,S3,nioa,0.2921,0.3665,120,1246.55
